,Title,Location,Area,Price,Beds,Baths
0,New Marlborough - House,harare west,2000,160000,4,2
2,Tynwald - House,harare west,200,40000,4,2
4,Eastlea - House,harare east,1095,290000,4,1
5,Borrowdale - House,harare north,2100,225000,4,2
6,Greystone Park - House,harare north,4047,794000,6,6
7,Zengeza - House,chitungwiza,800,15000,3,2
8,Aspindale Park - House,harare west,320,65000,4,2
10,Chegutu - House,chegutu,3000,70000,4,2
11,Hatfield - House,harare south,4064,185000,3,1
12,Zengeza - House,chitungwiza,510,44000,4,2
13,Ruwa - House,ruwa,400,48000,3,1
15,Madokero - House,harare west,411,90000,4,2
16,Sentosa - House,harare west,1500,150000,4,3
18,Glen View - House,harare high density,200,30000,5,1
22,Kumalo - House,bulawayo east,2500,235000,3,1
25,Greendale - House,harare east,6039,200000,3,2
26,Parklands - House,bulawayo east,1000,50000,2,1
31,Budiriro - House,harare high density,300,52000,4,1
36,"Msasa Park - House, House",harare south,507,78000,3,1
37,Southview Park - House,harare south,500,70000,6,2
39,Damofalls - House,damofalls,200,29000,5,2
47,Marimba Park - House,harare high density,1500,68000,6,2
48,Helensvale - House,harare north,3954,320000,3,2
49,Greystone Park - House,harare north,4292,320000,4,3
50,Ashdown Park - House,harare west,998,135000,3,2
60,Paddonhurst - House,bulawayo north,750,120000,3,1
65,Sandton Park - House,harare west,1631,80000,3,2
66,Glen View - House,harare high density,300,36000,5,1
69,Crowhill Views - House,harare north,1000,200000,4,2
71,Zimre Park - House,harare east,780,45000,4,2
77,Charlotte Brooke - House,harare north,1500,180000,4,3
78,Northend - House,bulawayo north,1137,95000,4,2
79,Eastlea - House,harare east,2000,550000,5,3
86,Crowborough - House,harare high density,300,55000,4,2
87,Mount Pleasant - House,harare north,3518,475000,4,2
90,Rockview - House,harare east,1109,75000,3,2
94,Sunridge - House,harare west,1353,160000,4,2
96,Budiriro - House,harare high density,300,42000,5,2
110,"Borrowdale Brooke - House, Townhouse Complex",harare north,414,460000,3,2
114,Norton - House,norton,2025,65000,3,2
116,Mt Pleasant Heights - House,harare west,2000,120000,3,1
118,Manyame Park - House,chitungwiza,200,23000,4,2
120,Upper Hillside - House,harare east,1729,210000,4,3
122,Tynwald - House,harare west,400,120000,4,3
123,Chitungwiza - House,chitungwiza,200,28000,4,1
126,Zengeza - House,chitungwiza,300,33000,3,1
127,Cold Comfort - House,harare west,2753,100000,3,1
129,"Avondale - House, Townhouse Complex",harare north,4000,220000,3,2
131,Helensvale - House,harare north,4695,650000,4,7
132,Chitungwiza - House,chitungwiza,200,26000,4,1
133,Cranborne - House,harare south,714,169500,3,2
135,Cold Comfort - House,harare west,490,35000,5,1
136,Kingsdale - House,bulawayo north,4046,51000,3,1
138,Shawasha Hills - House,harare north,8094,950000,6,6
140,Hatfield - House,harare south,2506,110000,4,2
143,Manyame Park - House,chitungwiza,200,40000,4,1
146,Cowdray Park - House,bulawayo high density,200,20000,3,2
147,Mount Pleasant - House,harare north,3279,300000,2,2
151,Helensvale - House,harare north,4046,498000,3,4
155,Magwegwe - House,bulawayo high density,200,35000,3,1
156,Madokero - House,harare west,450,115000,4,2
158,Mt Pleasant Heights - House,harare west,1800,210000,4,3
159,Kuwadzana - House,harare high density,300,20000,1,1
161,Old Windsor - House,ruwa,2000,135000,5,2
162,Budiriro - House,harare high density,336,28000,2,1
165,Ruwa - House,ruwa,400,120000,4,2
166,Crowhill Views - House,harare north,1000,55000,4,2
169,Cranborne - House,harare south,714,98000,3,2
171,Southview Park - House,harare south,240,25000,4,2
173,Tafara - House,harare high density,227,35000,4,1
175,Hatfield - House,harare south,2506,115000,3,2
178,Belgravia - House,harare north,3331,950000,6,5
180,Msasa Park - House,harare south,500,70000,3,2
183,Emganwini - House,bulawayo high density,350,26000,3,1
184,Greendale North - House,harare north,4048,360000,4,2
187,Ruwa - House,ruwa,300,95000,3,2
189,Windsor Park - House,ruwa,2000,135000,5,2
192,"Strathaven - House, Townhouse Complex",harare west,450,180000,4,2
195,Westgate - House,harare west,923,160000,4,2
196,Victoria Falls - House,victoria falls,772,80000,4,1
197,Warren Park - House,harare high density,250,55000,4,2
199,Ballantyne Park - House,harare north,4020,600000,4,3
201,Ruwa - House,ruwa,350,45000,4,2
204,Glen View - House,harare high density,200,35000,4,1
206,Glen Lorne - House,harare north,4200,280000,2,2
208,New Marlborough - House,harare west,1000,125000,3,2
212,Hogerty Hill - House,harare north,2400,450000,8,5
213,Budiriro - House,harare high density,320,23500,3,1
214,Msasa Park - House,harare south,350,90000,3,2
215,Selbourne Park - House,bulawayo east,1201,90000,3,2
216,Killarney - House,bulawayo east,8090,110000,4,2
217,Zengeza - House,chitungwiza,300,55000,4,2
222,Eastlea - House,harare east,2477,260000,4,2
223,Glen Lorne - House,harare north,3170,390000,5,5
225,Milton Park - House,harare west,2023,195000,3,4
226,Vainona - House,harare north,5069,380000,4,2
227,Mt Pleasant Heights - House,harare west,2000,200000,3,4
228,Old Windsor - House,ruwa,1075,75000,3,1
229,Masvingo - House,masvingo,2145,215000,6,6
230,Waterfalls - House,harare south,4048,120000,3,1
233,Marimba Park - House,harare high density,1200,75000,6,2
234,Ruwa - House,ruwa,300,50000,3,2
242,Madokero - House,harare west,420,100000,3,2
247,Sunningdale - House,harare high density,300,40000,4,1
248,Waterfalls - House,harare south,500,80000,4,2
251,"Matsheumhlope - House, House",bulawayo east,4047,150000,3,2
252,Old Windsor - House,ruwa,2000,140000,4,2
253,Matsheumhlope - House,bulawayo east,12237,190000,4,2
254,Chadcombe - House,harare south,4200,155000,4,2
258,Chadcombe - House,harare south,4200,150000,3,2
259,Rockview - House,harare east,960,40000,2,1
260,Waterfalls - House,harare south,4440,145000,4,2
261,Arlington - House,harare south,365,128000,4,2
263,"Greendale - House, Townhouse Complex",harare east,400,180000,4,4
271,Avondale - House,harare north,2074,350000,5,3
272,"Budiriro - House, House",harare high density,300,28000,2,1
273,Gunhill - House,harare north,2398,230000,4,3
274,"Crowborough - House, House",harare high density,200,28000,2,1
275,Fairview - House,harare west,1500,65000,5,1
276,Budiriro - House,harare high density,600,40000,5,2
277,Chitungwiza - House,chitungwiza,440,35000,3,1
278,Whitecliff - House,harare west,17000,270000,4,3
281,Kuwadzana - House,harare high density,148,45000,3,1
282,Chitungwiza - House,chitungwiza,504,45000,5,2
283,Budiriro - House,harare high density,300,37000,3,1
285,Tynwald - House,harare west,200,60000,4,2
286,Groom Bridge - House,harare north,4223,350000,4,2
289,Dzivarasekwa - House,harare high density,300,22000,1,1
291,Selbourne Park - House,bulawayo east,2000,195000,4,2
292,Madokero - House,harare west,340,130000,6,3
294,Zimre Park - House,harare east,960,115000,4,2
297,Kariba - House,kariba,1722,60000,3,2
298,Tiger's Kloof - House,mutare,2717,245000,5,3
299,Arcadia - House,harare south,811,90000,4,3
300,Northwood - House,harare north,6009,400000,4,3
301,Burnside - House,bulawayo east,4000,70000,3,1
303,Borrowdale Brooke - House,harare north,4000,1600000,5,5
304,Mount Pleasant - House,harare north,6009,400000,4,3
305,Southwold - House,bulawayo south,972,120000,3,1
306,Cotswold Hills - House,harare west,1011,140000,3,2
307,Quinnington - House,harare north,4000,395000,5,3
308,Gunhill - House,harare north,2398,255000,4,2
313,Cold Comfort - House,harare west,240,77000,4,2
314,Milton Park - House,harare west,1500,200000,4,2
316,Old Windsor - House,ruwa,4954,173000,3,2
317,"Victoria Falls - House, House",victoria falls,2835,395000,3,2
318,Greenside - House,mutare,35000,140000,3,2
